# File: EIA_use_all_Bbtu.csv,,,
# Title: EIA State Energy Data from SEDS,,,
# Units: Energy units in Billion BTU,,,
# Source:  https://www.eia.gov/state/seds/seds-data-complete.php?sid=US,,,
# Column types: ccciiiiiiiiiiiiiiiiinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,
# ----------,,,
Data_Status,State,MSN,2010
2011F,B,TETXB,1958058
2011F,B,TNACB,488162
2011F,B,TNCCB,116229
2011F,B,TNICB,564005
2011F,B,TNRCB,179448
2011F,B,TNTXB,1347845
2011F,B,TPOPP,4785
2011F,B,UOICB,198
2011F,B,USICB,0
2011F,B,WDCCB,929
2011F,B,WDEIB,5195
2011F,B,WDICB,128625
2011F,B,WDRCB,5819
2011F,B,WSCCB,0
2011F,B,WSEIB,20
2011F,B,WSICB,5269
2011F,B,WWCCB,929
2011F,B,WWEIB,5215
2011F,B,WWICB,133893
2011F,B,WWTCB,145857
2011F,B,WWTXB,140642
2011F,B,WXICB,275
2011F,B,WYCCB,0
2011F,B,WYEGB,0
2011F,B,WYICB,0
2011F,B,WYTCB,0
2011F,B,WYTXB,0
2011F,C,ABICB,-1
2011F,C,ARICB,4703
2011F,C,ARTCB,4703
2011F,C,ARTXB,4703
2011F,C,AVACB,434
2011F,C,AVTCB,434
2011F,C,AVTXB,434
2011F,C,BMTCB,91149
2011F,C,CLACB,0
2011F,C,CLCCB,0
2011F,C,CLEIB,286417
2011F,C,CLICB,7272
2011F,C,CLKCB,0
2011F,C,CLOCB,7272
2011F,C,CLRCB,0
2011F,C,CLTCB,293689
2011F,C,CLTXB,7272
2011F,C,COICB,0
2011F,C,DFACB,98730
2011F,C,DFCCB,3847
2011F,C,DFEIB,321
2011F,C,DFICB,33696
2011F,C,DFRCB,55
2011F,C,DFTCB,136648
2011F,C,DFTXB,136327
2011F,C,DKEIB,321
2011F,C,ELEXB,0
2011F,C,ELIMB,0
2011F,C,ELISB,-77654
2011F,C,ELNIB,0
2011F,C,EMACB,8866
2011F,C,EMCCB,42
2011F,C,EMICB,197
2011F,C,EMLCB,0
2011F,C,EMTCB,9104
2011F,C,ESACB,1
2011F,C,ESCCB,41586
2011F,C,ESICB,57235
2011F,C,ESRCB,65616
2011F,C,ESTCB,164439
2011F,C,ESTXB,164439
2011F,C,FFTCB,913276
