# File: auxiliary_use_value.csv
# Title: 1971-2010 Auxiliary use value
# Units: Kilo TOE
# Source: EB*auxiliary_factor
# Column types: cnn
# ----------
state,year,value
GW,1980,50.54986611510552
CB,1980,6.630277817445264
CN,1980,495.31194954507316
JB,1980,30.13358643354725
JN,1980,291.5488314995224
GB,1980,300.88656743900845
GN,1980,291.96049648865915
JJ,1980,12.076382847270288
SU,1981,5.799123494316504
IC,1981,288.835733990529
DJ,1981,0.6536907005302081
DG,1981,0.82930768940844
GJ,1981,0.156537575860248
BS,1981,163.91683913795626
US,1981,45.028631146195224
GG,1981,99.6592428210567
GW,1981,50.462839783869484
CB,1981,6.6188631728997365
CN,1981,494.4592236112769
JB,1981,30.081708640867756
JN,1981,291.04690286683757
GB,1981,300.3685630189216
GN,1981,291.4578591361209
JJ,1981,12.055592222594711
SU,1982,5.789003483291274
IC,1982,288.33168871276774
DJ,1982,0.652549949328248
DG,1982,0.82786047019189
GJ,1982,0.156264403199738
BS,1982,163.63078897521655
US,1982,44.95005198779359
GG,1982,99.48532815324464
GW,1982,50.374777424880634
CB,1982,6.607312639728666
CN,1982,493.5963461782688
JB,1982,30.029213255418263
JN,1982,290.5389988932874
GB,1982,299.84439187954797
GN,1982,290.94923800557615
JJ,1982,12.034554090482521
SU,1983,5.778883472266044
IC,1983,287.82764343500645
DJ,1983,0.651409198126288
DG,1983,0.82641325097534
GJ,1983,0.15599123053922798
BS,1983,163.3447388124768
US,1983,44.87147282939196
GG,1983,99.31141348543257
GW,1983,50.28671506589178
CB,1983,6.595762106557595
CN,1983,492.73346874526067
JB,1983,29.976717869968773
JN,1983,290.0310949197372
GB,1983,299.3202207401744
GN,1983,290.4406168750315
JJ,1983,12.01351595837033
SU,1984,5.768882520194052
IC,1984,287.32952810168945
DJ,1984,0.6502818675267039
DG,1984,0.82498305786722
GJ,1984,0.155721271674724
BS,1984,163.06205394576932
US,1984,44.793818131677405
GG,1984,99.13954487253594
GW,1984,50.19968873465574
CB,1984,6.584347462012068
CN,1984,491.8807428114644
JB,1984,29.924840077289275
