# File: KEEI_use_all_KTOE.csv
# Title: State Energy Balance Table from KEEI
# Units: (KTOE)KiloTonne of Oil Equivalent
# Source: Connection with KEEI researcher
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Data_Status,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2011F,BS,CLEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,GSEI,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501,2067.830914238501
2011F,BS,RLEI,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348,0.22641234578696348
2011F,BS,GTEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,HDEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,NCEG,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23
2011F,BS,SLEG,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152,3.806595232446152
2011F,BS,WNEG,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866,0.36019854103213866
2011F,BS,BMIC,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167,27.5666650841167
2011F,BS,CLIC,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985,46.2985
2011F,BS,OLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,ELIC,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999,648.3405839999999
2011F,BS,GSIC,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313,449.041753973313
2011F,BS,HDIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,NCIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,RLIC,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994,306.78710397094994
2011F,BS,RCIC,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438,19.5515368691438
